"anger.Ord1","disgust.Ord1","fear.Ord1","happiness.Ord1","sadness.Ord1","surprise.Ord1"
0,-0.0484755500477023,-0.204000259154906,-0.476343936897346,-0.280053591159635,-0.338087799064502
-0.0484755500477023,0,-0.343069384093726,-0.179269772321134,-0.0245167803608716,-0.141503319869575
-0.204000259154906,-0.343069384093726,0,-0.499229362513964,-0.0182514473471059,-0.0323391772287386
-0.476343936897346,-0.179269772321134,-0.499229362513964,0,-0.470245898981074,-0.321956602912092
-0.280053591159635,-0.0245167803608716,-0.0182514473471059,-0.470245898981074,0,-0.464134368976517
-0.338087799064502,-0.141503319869575,-0.0323391772287386,-0.321956602912092,-0.464134368976517,0
