"","excitement","happiness","pride","anger","fear","sadness","neutral"
"1",0.0564946942031384,0.0318356268107891,0.249942794442177,0.32701250910759,0.102759800851345,0.0565166808664799,0.175437942147255
"2",0.0406652763485909,0.0722275897860527,0.119003243744373,0.282114714384079,0.136722102761269,0.111604653298855,0.237662300467491
"3",0.0609839148819447,0.0395541489124298,0.21442112326622,0.314183801412582,0.0886098071932793,0.164743587374687,0.117503620684147
"4",0.0642922967672348,0.0305175986140966,0.116781920194626,0.592389225959778,0.0700110048055649,0.0383636727929115,0.0876443088054657
"5",0.0685679912567139,0.0148162292316556,0.0580407008528709,0.529087126255035,0.177060142159462,0.0384229719638824,0.114004857838154
"6",NA,NA,NA,NA,NA,NA,NA
"7",0.0326324068009853,0.00745469890534878,0.0413197353482246,0.466553419828415,0.151919081807137,0.104153178632259,0.195967435836792
"8",NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA
"11",0.0560121722519398,0.0327977947890759,0.08868707716465,0.537445902824402,0.068262405693531,0.183075577020645,0.0337191335856915
"12",NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA
"14",0.0492191724479198,0.03367979824543,0.087686613202095,0.457621514797211,0.112213663756847,0.0852783098816872,0.174300864338875
"15",0.0469546318054199,0.0601853542029858,0.205180957913399,0.358652681112289,0.112307079136372,0.0634316578507423,0.15328760445118
"16",0.0511618889868259,0.0162212923169136,0.0790146961808205,0.448484569787979,0.0801734700798988,0.151692807674408,0.173251181840897
"17",NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA
"22",0.0854414403438568,0.0832445472478867,0.221474975347519,0.282521337270737,0.110874600708485,0.0567629747092724,0.159680128097534
"23",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA
"25",0.0235776491463184,0.0603026784956455,0.125257521867752,0.408442795276642,0.161508902907372,0.0562167502939701,0.164693757891655
"26",0.042603824287653,0.0135221695527434,0.0691225081682205,0.531982123851776,0.118640370666981,0.0516892597079277,0.172439739108086
"27",NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA
