"","excitement","happiness","pride","anger","fear","sadness","neutral"
"1",0.1614930331707,0.0267543289810419,0.103553451597691,0.352911531925201,0.0691971853375435,0.246518611907959,0.0395718701183796
"2",0.078690268099308,0.0425376743078232,0.0787591934204102,0.112881273031235,0.251319468021393,0.315418273210526,0.120393872261047
"3",0.459861755371094,0.123780503869057,0.213312938809395,0.0246117021888494,0.0303833391517401,0.0392646305263042,0.108785137534142
"4",0.0445192530751228,0.0241661798208952,0.0580437891185284,0.0844612643122673,0.353192895650864,0.261705338954926,0.173911213874817
"5",0.0814470574259758,0.016604071483016,0.0546425990760326,0.15050832927227,0.177270784974098,0.34111362695694,0.178413569927216
"6",0.0363261327147484,0.00551245827227831,0.0401857458055019,0.176954448223114,0.206214115023613,0.411254078149796,0.123552963137627
"7",NA,NA,NA,NA,NA,NA,NA
"8",0.0675613284111023,0.0342378914356232,0.0444804504513741,0.103885941207409,0.233325988054276,0.39462274312973,0.121885687112808
"9",0.385170161724091,0.0340419337153435,0.0699214860796928,0.217505574226379,0.0881439223885536,0.115941256284714,0.0892756879329681
"10",0.108813568949699,0.0235299821943045,0.0436748005449772,0.104348607361317,0.328495472669601,0.236079454421997,0.155058145523071
"11",0.0317912437021732,0.0191615615040064,0.0852590724825859,0.117606021463871,0.300069004297256,0.197458177804947,0.248654931783676
"12",NA,NA,NA,NA,NA,NA,NA
"13",0.2275400608778,0.187575697898865,0.448568791151047,0.0179155990481377,0.0544432103633881,0.0586998648941517,0.00525680324062705
"14",0.0513940341770649,0.0117212468758225,0.0327347740530968,0.0675569549202919,0.115189269185066,0.617610394954681,0.103793255984783
"15",0.101014971733093,0.0150591330602765,0.0415977649390697,0.15384005010128,0.27364656329155,0.348864257335663,0.0659772530198097
"16",0.041496392339468,0.0158400628715754,0.0472650714218616,0.282910794019699,0.252285420894623,0.235205203294754,0.124997094273567
"17",0.0802930891513824,0.0267347320914268,0.0705112367868423,0.0758768394589424,0.290012001991272,0.241775333881378,0.214796751737595
"18",0.0700229108333588,0.0116772539913654,0.108188323676586,0.166118398308754,0.263502687215805,0.243899643421173,0.136590793728828
"19",0.0642502680420876,0.0109321903437376,0.0278236176818609,0.233772173523903,0.279077678918839,0.252096325159073,0.132047653198242
"20",0.0757804811000824,0.0711091086268425,0.130364269018173,0.0732853785157204,0.149921059608459,0.34196525812149,0.157574504613876
"21",0.0980742797255516,0.196631118655205,0.0812966600060463,0.0387587882578373,0.129616677761078,0.261219829320908,0.194402575492859
"22",0.0264810752123594,0.00702172704041004,0.0312100704759359,0.289111703634262,0.29448401927948,0.2568339407444,0.0948575213551521
"23",0.0289269927889109,0.0186072271317244,0.0430563911795616,0.0750307664275169,0.148970797657967,0.606903314590454,0.0785044878721237
"24",NA,NA,NA,NA,NA,NA,NA
"25",0.0435098223388195,0.0134206339716911,0.0874834880232811,0.243995010852814,0.282799035310745,0.209145501255989,0.119646474719048
"26",NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA
"28",0.0264915768057108,0.0183254852890968,0.0435456335544586,0.187410816550255,0.125651389360428,0.535056054592133,0.0635189712047577
"29",0.0673775300383568,0.0441324338316917,0.0629889518022537,0.13473379611969,0.312985360622406,0.240303978323936,0.137477949261665
"30",0.0581579878926277,0.0056616235524416,0.0264924708753824,0.311415016651154,0.333957463502884,0.166094973683357,0.0982204899191856
